check,error_type,severity,location,system,game_context,occurrences,first_seconds,last_seconds,session,timestamp,log_line
A-04,BOUNDARY_BREAK,high,X=0.000000 Y=-950.000000 Z=85.000000,arena collision,pushed south past the wall and was still outside 1.500000s later; tier 1; rooms won 0; 6 hostiles alive; hype 0.000000; score 20; contestant at X=0.000000 Y=-950.000000 Z=85.000000; health 200.000000 of 300.000000,1,19.0,19.0,1,2026.08.28-01.40.02.079,24186
INV-05,BOUNDARY_BREAK,high,X=0.000000 Y=-950.000000 Z=85.000000,arena collision,the contestant is outside the arena with nothing pushing them; tier 1; rooms won 0; 6 hostiles alive; hype 0.000000; score 20; contestant at X=0.000000 Y=-950.000000 Z=85.000000; health 200.000000 of 300.000000,4,19.0,20.5,1,2026.08.28-01.40.02.080,24188
A-06,OUT_OF_WORLD,high,X=-745.209030 Y=-45.222276 Z=-3163.063468,arena floor collision,left under the floor and stayed there; tier 1; rooms won 0; 6 hostiles alive; hype 0.000000; score 20; contestant at X=-745.209030 Y=-45.222276 Z=-3163.063468; health 175.000000 of 300.000000,1,30.5,30.5,1,2026.08.28-01.40.13.600,24206
INV-05,BOUNDARY_BREAK,high,X=-1253.336557 Y=-76.057495 Z=-7234.420117,arena collision,the contestant is outside the arena with nothing pushing them; tier 1; rooms won 0; 6 hostiles alive; hype 0.000000; score 20; contestant at X=-1253.336557 Y=-76.057495 Z=-7234.420117; health 175.000000 of 300.000000,2,31.5,32.0,1,2026.08.28-01.40.14.601,24208
A-01,BOUNDARY_BREAK,high,X=-1450.000000 Y=0.000000 Z=85.149991,arena collision,pushed west past the wall and was still outside 1.500000s later; tier 1; rooms won 0; 6 hostiles alive; hype 3.000000; score 20; contestant at X=-1450.000000 Y=0.000000 Z=85.149991; health 300.000000 of 300.000000,1,40.0,40.0,1,2026.08.28-01.40.23.131,24256
INV-05,BOUNDARY_BREAK,high,X=-1450.000000 Y=0.000000 Z=85.149991,arena collision,the contestant is outside the arena with nothing pushing them; tier 1; rooms won 0; 6 hostiles alive; hype 3.000000; score 20; contestant at X=-1450.000000 Y=0.000000 Z=85.149991; health 300.000000 of 300.000000,3,40.0,41.0,1,2026.08.28-01.40.23.131,24258
INV-08,SAFETY_RADIUS_BREACH,high,X=-1328.300769 Y=-21.269145 Z=85.399991,WaveManager spawn loop,"a hostile appeared 123.544483cm from the contestant, inside the 300.000000cm safety radius; tier 1; rooms won 0; 1 hostiles alive; hype 0.000000; score 0; contestant at X=-1450.000000 Y=0.000000 Z=85.000000; health 300.000000 of 300.000000",1,6.9,6.9,2,2026.08.28-01.53.51.256,25144
INV-01,BOUNDARY_BREAK,high,X=-1381.209412 Y=-57.734387 Z=114.621896,SwarmerSpawner / WaveManager,a hostile is outside the arena; tier 1; rooms won 0; 1 hostiles alive; hype 0.000000; score 10; contestant at X=-1450.000000 Y=0.000000 Z=85.000000; health 300.000000 of 300.000000,1,7.1,7.1,2,2026.08.28-01.53.51.458,25168
INV-11,OUT_OF_BOUNDS_PICKUP,high,X=-1450.000000 Y=0.000000 Z=85.000000,cash_drop_manager,the score rose from 0 to 10 while the contestant was somewhere they cannot stand; tier 1; rooms won 0; 1 hostiles alive; hype 0.000000; score 10; contestant at X=-1450.000000 Y=0.000000 Z=85.000000; health 300.000000 of 300.000000,1,7.1,7.1,2,2026.08.28-01.53.51.459,25170
INV-08,SAFETY_RADIUS_BREACH,high,X=-1326.400001 Y=-19.999999 Z=85.399991,WaveManager spawn loop,"a hostile appeared 125.208305cm from the contestant, inside the 300.000000cm safety radius; tier 1; rooms won 0; 2 hostiles alive; hype 0.000000; score 20; contestant at X=-1450.000000 Y=0.000000 Z=85.000000; health 300.000000 of 300.000000",1,7.4,7.4,2,2026.08.28-01.53.51.762,25186
INV-01,BOUNDARY_BREAK,high,X=-1336.992552 Y=-11.282527 Z=85.399991,SwarmerSpawner / WaveManager,a hostile is outside the arena; tier 1; rooms won 0; 2 hostiles alive; hype 0.000000; score 20; contestant at X=-1450.000000 Y=0.000000 Z=85.000000; health 300.000000 of 300.000000,1,7.6,7.6,2,2026.08.28-01.53.51.962,25190
INV-11,OUT_OF_BOUNDS_PICKUP,high,X=-1450.000000 Y=0.000000 Z=85.000000,cash_drop_manager,the score rose from 10 to 20 while the contestant was somewhere they cannot stand; tier 1; rooms won 0; 2 hostiles alive; hype 0.000000; score 20; contestant at X=-1450.000000 Y=0.000000 Z=85.000000; health 300.000000 of 300.000000,1,7.6,7.6,2,2026.08.28-01.53.51.962,25192
INV-08,SAFETY_RADIUS_BREACH,high,X=-1326.400001 Y=-19.999999 Z=85.399991,WaveManager spawn loop,"a hostile appeared 125.208305cm from the contestant, inside the 300.000000cm safety radius; tier 1; rooms won 0; 3 hostiles alive; hype 0.000000; score 20; contestant at X=-1450.000000 Y=0.000000 Z=85.000000; health 300.000000 of 300.000000",1,8.0,8.0,2,2026.08.28-01.53.52.334,25198
A-01,BOUNDARY_BREAK,high,X=-1450.000000 Y=0.000000 Z=85.000000,arena collision,pushed west past the wall and was still outside 1.500000s later; tier 1; rooms won 0; 3 hostiles alive; hype 0.000000; score 20; contestant at X=-1450.000000 Y=0.000000 Z=85.000000; health 300.000000 of 300.000000,1,8.1,8.1,2,2026.08.28-01.53.52.469,25200
INV-01,BOUNDARY_BREAK,high,X=-1339.009848 Y=-25.400630 Z=85.399991,SwarmerSpawner / WaveManager,a hostile is outside the arena; tier 1; rooms won 0; 3 hostiles alive; hype 0.000000; score 20; contestant at X=-1450.000000 Y=0.000000 Z=85.000000; health 300.000000 of 300.000000,1,8.1,8.1,2,2026.08.28-01.53.52.470,25202
INV-05,BOUNDARY_BREAK,high,X=-1450.000000 Y=0.000000 Z=85.000000,arena collision,the contestant is outside the arena with nothing pushing them; tier 1; rooms won 0; 3 hostiles alive; hype 0.000000; score 20; contestant at X=-1450.000000 Y=0.000000 Z=85.000000; health 300.000000 of 300.000000,1,8.1,8.1,2,2026.08.28-01.53.52.470,25204
INV-11,OUT_OF_BOUNDS_PICKUP,high,X=-1450.000000 Y=0.000000 Z=85.000000,cash_drop_manager,the score rose from 20 to 30 while the contestant was somewhere they cannot stand; tier 1; rooms won 0; 3 hostiles alive; hype 0.000000; score 30; contestant at X=-1450.000000 Y=0.000000 Z=85.000000; health 275.000000 of 300.000000,1,8.6,8.6,2,2026.08.28-01.53.52.962,25210
INV-05,BOUNDARY_BREAK,high,X=-1450.000000 Y=0.000000 Z=85.000000,arena collision,the contestant is outside the arena with nothing pushing them; tier 1; rooms won 0; 3 hostiles alive; hype 0.000000; score 30; contestant at X=-1450.000000 Y=0.000000 Z=85.000000; health 275.000000 of 300.000000,1,8.6,8.6,2,2026.08.28-01.53.52.962,25212
INV-01,BOUNDARY_BREAK,high,X=-1326.400001 Y=-19.999999 Z=85.399991,SwarmerSpawner / WaveManager,a hostile is outside the arena; tier 1; rooms won 0; 4 hostiles alive; hype 0.000000; score 30; contestant at X=-1450.000000 Y=0.000000 Z=85.000000; health 275.000000 of 300.000000,1,9.1,9.1,2,2026.08.28-01.53.53.475,25220
INV-05,BOUNDARY_BREAK,high,X=-1450.000000 Y=0.000000 Z=85.000000,arena collision,the contestant is outside the arena with nothing pushing them; tier 1; rooms won 0; 4 hostiles alive; hype 0.000000; score 30; contestant at X=-1450.000000 Y=0.000000 Z=85.000000; health 275.000000 of 300.000000,1,9.1,9.1,2,2026.08.28-01.53.53.475,25222
INV-08,SAFETY_RADIUS_BREACH,high,X=-1326.400001 Y=-19.999999 Z=85.399991,WaveManager spawn loop,"a hostile appeared 125.208305cm from the contestant, inside the 300.000000cm safety radius; tier 1; rooms won 0; 4 hostiles alive; hype 0.000000; score 30; contestant at X=-1450.000000 Y=0.000000 Z=85.000000; health 275.000000 of 300.000000",1,9.2,9.2,2,2026.08.28-01.53.53.528,25228
INV-05,BOUNDARY_BREAK,high,X=-1445.146983 Y=4.313623 Z=85.000000,arena collision,the contestant is outside the arena with nothing pushing them; tier 1; rooms won 0; 4 hostiles alive; hype 0.000000; score 30; contestant at X=-1445.146983 Y=4.313623 Z=85.000000; health 250.000000 of 300.000000,1,9.6,9.6,2,2026.08.28-01.53.53.976,25236
INV-01,BOUNDARY_BREAK,high,X=-1349.426339 Y=-17.005499 Z=85.399991,SwarmerSpawner / WaveManager,a hostile is outside the arena; tier 1; rooms won 0; 5 hostiles alive; hype 0.000000; score 30; contestant at X=1450.000000 Y=0.000000 Z=85.000000; health 200.000000 of 300.000000,1,10.6,10.6,2,2026.08.28-01.53.54.966,25250
A-02,BOUNDARY_BREAK,high,X=1450.000000 Y=0.000000 Z=85.000000,arena collision,pushed east past the wall and was still outside 1.500000s later; tier 1; rooms won 0; 6 hostiles alive; hype 0.000000; score 30; contestant at X=1450.000000 Y=0.000000 Z=85.000000; health 200.000000 of 300.000000,1,11.6,11.6,2,2026.08.28-01.53.55.977,25256
INV-01,BOUNDARY_BREAK,high,X=-1326.400001 Y=-19.999999 Z=85.399991,SwarmerSpawner / WaveManager,a hostile is outside the arena; tier 1; rooms won 0; 6 hostiles alive; hype 0.000000; score 30; contestant at X=1450.000000 Y=0.000000 Z=85.000000; health 200.000000 of 300.000000,1,11.6,11.6,2,2026.08.28-01.53.55.978,25258
INV-05,BOUNDARY_BREAK,high,X=1450.000000 Y=0.000000 Z=85.000000,arena collision,the contestant is outside the arena with nothing pushing them; tier 1; rooms won 0; 6 hostiles alive; hype 0.000000; score 30; contestant at X=1450.000000 Y=0.000000 Z=85.000000; health 200.000000 of 300.000000,4,11.6,13.1,2,2026.08.28-01.53.55.978,25260
A-03,BOUNDARY_BREAK,high,X=0.000000 Y=950.000000 Z=85.000000,arena collision,pushed north past the wall and was still outside 1.500000s later; tier 1; rooms won 0; 6 hostiles alive; hype 0.000000; score 30; contestant at X=0.000000 Y=950.000000 Z=85.000000; health 200.000000 of 300.000000,1,15.1,15.1,2,2026.08.28-01.53.59.477,25268
INV-05,BOUNDARY_BREAK,high,X=0.000000 Y=950.000000 Z=85.000000,arena collision,the contestant is outside the arena with nothing pushing them; tier 1; rooms won 0; 6 hostiles alive; hype 0.000000; score 30; contestant at X=0.000000 Y=950.000000 Z=85.000000; health 200.000000 of 300.000000,4,15.1,16.6,2,2026.08.28-01.53.59.478,25270
A-04,BOUNDARY_BREAK,high,X=0.000000 Y=-950.000000 Z=85.000000,arena collision,pushed south past the wall and was still outside 1.500000s later; tier 1; rooms won 0; 6 hostiles alive; hype 0.000000; score 30; contestant at X=0.000000 Y=-950.000000 Z=85.000000; health 200.000000 of 300.000000,1,18.6,18.6,2,2026.08.28-01.54.02.990,25279
INV-05,BOUNDARY_BREAK,high,X=0.000000 Y=-950.000000 Z=85.000000,arena collision,the contestant is outside the arena with nothing pushing them; tier 1; rooms won 0; 6 hostiles alive; hype 0.000000; score 30; contestant at X=0.000000 Y=-950.000000 Z=85.000000; health 200.000000 of 300.000000,4,18.6,20.1,2,2026.08.28-01.54.02.990,25281
A-06,OUT_OF_WORLD,high,X=0.000000 Y=0.000000 Z=-3764.020961,arena floor collision,left under the floor and stayed there; tier 1; rooms won 0; 6 hostiles alive; hype 3.000000; score 30; contestant at X=0.000000 Y=0.000000 Z=-3764.020961; health 200.000000 of 300.000000,1,30.1,30.1,2,2026.08.28-01.54.14.498,25294
A-01,BOUNDARY_BREAK,high,X=-1461.508334 Y=-30.026318 Z=85.149992,arena collision,pushed west past the wall and was still outside 1.500000s later; tier 1; rooms won 0; 6 hostiles alive; hype 0.000000; score 30; contestant at X=-1461.508334 Y=-30.026318 Z=85.149992; health 300.000000 of 300.000000,1,56.4,56.4,2,2026.08.28-01.54.40.861,25356
INV-05,BOUNDARY_BREAK,high,X=-1461.508334 Y=-30.026318 Z=85.149992,arena collision,the contestant is outside the arena with nothing pushing them; tier 1; rooms won 0; 6 hostiles alive; hype 0.000000; score 30; contestant at X=-1461.508334 Y=-30.026318 Z=85.149992; health 300.000000 of 300.000000,4,56.6,58.1,2,2026.08.28-01.54.41.061,25364
A-02,BOUNDARY_BREAK,high,X=1450.000000 Y=0.000000 Z=85.000000,arena collision,pushed east past the wall and was still outside 1.500000s later; tier 1; rooms won 0; 6 hostiles alive; hype 3.000000; score 30; contestant at X=1450.000000 Y=0.000000 Z=85.000000; health 300.000000 of 300.000000,1,59.9,59.9,2,2026.08.28-01.54.44.361,25376
INV-05,BOUNDARY_BREAK,high,X=1450.000000 Y=0.000000 Z=85.000000,arena collision,the contestant is outside the arena with nothing pushing them; tier 1; rooms won 0; 6 hostiles alive; hype 3.000000; score 30; contestant at X=1450.000000 Y=0.000000 Z=85.000000; health 300.000000 of 300.000000,4,60.1,61.6,2,2026.08.28-01.54.44.561,25378
A-03,BOUNDARY_BREAK,high,X=0.000000 Y=950.000000 Z=85.000000,arena collision,pushed north past the wall and was still outside 1.500000s later; tier 1; rooms won 0; 6 hostiles alive; hype 3.000000; score 30; contestant at X=0.000000 Y=950.000000 Z=85.000000; health 300.000000 of 300.000000,1,63.4,63.4,2,2026.08.28-01.54.47.878,25390
INV-05,BOUNDARY_BREAK,high,X=0.000000 Y=950.000000 Z=85.000000,arena collision,the contestant is outside the arena with nothing pushing them; tier 1; rooms won 0; 6 hostiles alive; hype 3.000000; score 30; contestant at X=0.000000 Y=950.000000 Z=85.000000; health 300.000000 of 300.000000,4,63.6,65.1,2,2026.08.28-01.54.48.078,25392
A-04,BOUNDARY_BREAK,high,X=0.000000 Y=-950.000000 Z=85.000000,arena collision,pushed south past the wall and was still outside 1.500000s later; tier 1; rooms won 0; 6 hostiles alive; hype 3.000000; score 30; contestant at X=0.000000 Y=-950.000000 Z=85.000000; health 300.000000 of 300.000000,1,66.9,66.9,2,2026.08.28-01.54.51.386,25400
INV-05,BOUNDARY_BREAK,high,X=0.000000 Y=-950.000000 Z=85.000000,arena collision,the contestant is outside the arena with nothing pushing them; tier 1; rooms won 0; 6 hostiles alive; hype 3.000000; score 30; contestant at X=0.000000 Y=-950.000000 Z=85.000000; health 300.000000 of 300.000000,4,67.1,68.6,2,2026.08.28-01.54.51.587,25402
A-06,OUT_OF_WORLD,high,X=0.000000 Y=0.000000 Z=-3824.527103,arena floor collision,left under the floor and stayed there; tier 1; rooms won 0; 6 hostiles alive; hype 3.000000; score 30; contestant at X=0.000000 Y=0.000000 Z=-3824.527103; health 300.000000 of 300.000000,1,78.4,78.4,2,2026.08.28-01.55.02.908,25422
A-01,BOUNDARY_BREAK,high,X=-1450.000000 Y=0.000000 Z=85.149990,arena collision,pushed west past the wall and was still outside 1.500000s later; tier 1; rooms won 0; 6 hostiles alive; hype 6.000000; score 30; contestant at X=-1450.000000 Y=0.000000 Z=85.149990; health 300.000000 of 300.000000,1,104.7,104.7,2,2026.08.28-01.55.29.242,25474
INV-05,BOUNDARY_BREAK,high,X=-1450.000000 Y=0.000000 Z=85.149990,arena collision,the contestant is outside the arena with nothing pushing them; tier 1; rooms won 0; 6 hostiles alive; hype 6.000000; score 30; contestant at X=-1450.000000 Y=0.000000 Z=85.149990; health 300.000000 of 300.000000,4,105.1,106.6,2,2026.08.28-01.55.29.658,25476
A-02,BOUNDARY_BREAK,high,X=1450.000000 Y=0.000000 Z=85.000000,arena collision,pushed east past the wall and was still outside 1.500000s later; tier 1; rooms won 0; 6 hostiles alive; hype 6.000000; score 30; contestant at X=1450.000000 Y=0.000000 Z=85.000000; health 300.000000 of 300.000000,1,108.2,108.2,2,2026.08.28-01.55.32.754,25490
INV-05,BOUNDARY_BREAK,high,X=1450.000000 Y=0.000000 Z=85.000000,arena collision,the contestant is outside the arena with nothing pushing them; tier 1; rooms won 0; 6 hostiles alive; hype 6.000000; score 30; contestant at X=1450.000000 Y=0.000000 Z=85.000000; health 300.000000 of 300.000000,4,108.6,110.1,2,2026.08.28-01.55.33.154,25492
A-03,BOUNDARY_BREAK,high,X=0.000000 Y=950.000000 Z=85.000000,arena collision,pushed north past the wall and was still outside 1.500000s later; tier 1; rooms won 0; 6 hostiles alive; hype 1.000000; score 30; contestant at X=0.000000 Y=950.000000 Z=85.000000; health 300.000000 of 300.000000,1,111.7,111.7,2,2026.08.28-01.55.36.255,25502
INV-05,BOUNDARY_BREAK,high,X=0.000000 Y=950.000000 Z=85.000000,arena collision,the contestant is outside the arena with nothing pushing them; tier 1; rooms won 0; 6 hostiles alive; hype 1.000000; score 30; contestant at X=0.000000 Y=950.000000 Z=85.000000; health 300.000000 of 300.000000,4,112.1,113.6,2,2026.08.28-01.55.36.672,25504
A-04,BOUNDARY_BREAK,high,X=0.000000 Y=-950.000000 Z=85.000000,arena collision,pushed south past the wall and was still outside 1.500000s later; tier 1; rooms won 0; 6 hostiles alive; hype 1.000000; score 30; contestant at X=0.000000 Y=-950.000000 Z=85.000000; health 300.000000 of 300.000000,1,115.2,115.2,2,2026.08.28-01.55.39.772,25516
INV-05,BOUNDARY_BREAK,high,X=0.000000 Y=-950.000000 Z=85.000000,arena collision,the contestant is outside the arena with nothing pushing them; tier 1; rooms won 0; 6 hostiles alive; hype 1.000000; score 30; contestant at X=0.000000 Y=-950.000000 Z=85.000000; health 300.000000 of 300.000000,4,115.6,117.1,2,2026.08.28-01.55.40.172,25518
A-06,OUT_OF_WORLD,high,X=0.000000 Y=0.000000 Z=-3825.036458,arena floor collision,left under the floor and stayed there; tier 1; rooms won 0; 6 hostiles alive; hype 0.000000; score 30; contestant at X=0.000000 Y=0.000000 Z=-3825.036458; health 300.000000 of 300.000000,1,126.7,126.7,2,2026.08.28-01.55.51.293,25534
A-01,BOUNDARY_BREAK,high,X=-1450.000000 Y=0.000000 Z=85.149992,arena collision,pushed west past the wall and was still outside 1.500000s later; tier 1; rooms won 0; 6 hostiles alive; hype 6.000000; score 30; contestant at X=-1450.000000 Y=0.000000 Z=85.149992; health 300.000000 of 300.000000,1,153.0,153.0,2,2026.08.28-01.56.17.644,25584
INV-05,BOUNDARY_BREAK,high,X=-1450.000000 Y=0.000000 Z=85.149992,arena collision,the contestant is outside the arena with nothing pushing them; tier 1; rooms won 0; 6 hostiles alive; hype 6.000000; score 30; contestant at X=-1450.000000 Y=0.000000 Z=85.149992; health 300.000000 of 300.000000,4,153.1,154.6,2,2026.08.28-01.56.17.744,25586
A-02,BOUNDARY_BREAK,high,X=1450.000000 Y=0.000000 Z=85.000000,arena collision,pushed east past the wall and was still outside 1.500000s later; tier 1; rooms won 0; 6 hostiles alive; hype 6.000000; score 30; contestant at X=1450.000000 Y=0.000000 Z=85.000000; health 300.000000 of 300.000000,1,156.5,156.5,2,2026.08.28-01.56.21.146,25600
INV-05,BOUNDARY_BREAK,high,X=1450.000000 Y=0.000000 Z=85.000000,arena collision,the contestant is outside the arena with nothing pushing them; tier 1; rooms won 0; 6 hostiles alive; hype 6.000000; score 30; contestant at X=1450.000000 Y=0.000000 Z=85.000000; health 300.000000 of 300.000000,4,156.6,158.1,2,2026.08.28-01.56.21.245,25602
A-03,BOUNDARY_BREAK,high,X=0.000000 Y=950.000000 Z=85.000000,arena collision,pushed north past the wall and was still outside 1.500000s later; tier 1; rooms won 0; 6 hostiles alive; hype 1.000000; score 30; contestant at X=0.000000 Y=950.000000 Z=85.000000; health 300.000000 of 300.000000,1,160.0,160.0,2,2026.08.28-01.56.24.659,25612
INV-05,BOUNDARY_BREAK,high,X=0.000000 Y=950.000000 Z=85.000000,arena collision,the contestant is outside the arena with nothing pushing them; tier 1; rooms won 0; 6 hostiles alive; hype 1.000000; score 30; contestant at X=0.000000 Y=950.000000 Z=85.000000; health 300.000000 of 300.000000,4,160.1,161.6,2,2026.08.28-01.56.24.759,25614
A-04,BOUNDARY_BREAK,high,X=0.000000 Y=-950.000000 Z=85.000000,arena collision,pushed south past the wall and was still outside 1.500000s later; tier 1; rooms won 0; 6 hostiles alive; hype 1.000000; score 30; contestant at X=0.000000 Y=-950.000000 Z=85.000000; health 300.000000 of 300.000000,1,163.5,163.5,2,2026.08.28-01.56.28.161,25627
INV-05,BOUNDARY_BREAK,high,X=0.000000 Y=-950.000000 Z=85.000000,arena collision,the contestant is outside the arena with nothing pushing them; tier 1; rooms won 0; 6 hostiles alive; hype 1.000000; score 30; contestant at X=0.000000 Y=-950.000000 Z=85.000000; health 300.000000 of 300.000000,4,163.6,165.1,2,2026.08.28-01.56.28.260,25629
A-06,OUT_OF_WORLD,high,X=0.000000 Y=0.000000 Z=-3690.419267,arena floor collision,left under the floor and stayed there; tier 1; rooms won 0; 6 hostiles alive; hype 0.000000; score 30; contestant at X=0.000000 Y=0.000000 Z=-3690.419267; health 300.000000 of 300.000000,1,175.0,175.0,2,2026.08.28-01.56.39.675,25645
A-01,BOUNDARY_BREAK,high,X=-1450.000000 Y=0.000000 Z=85.149992,arena collision,pushed west past the wall and was still outside 1.500000s later; tier 1; rooms won 0; 6 hostiles alive; hype 0.000000; score 30; contestant at X=-1450.000000 Y=0.000000 Z=85.149992; health 300.000000 of 300.000000,1,201.3,201.3,2,2026.08.28-01.57.06.035,25686
